id,imdb_votes,number_in_season,number_in_series,original_air_date,season,title,us_viewers_in_millions,imdb_score
377,596.0,21,377,2006-05-14,17,The Monkey Suit,8.3,7.1
131,1088.0,3,131,1995-10-01,7,Home Sweet Homediddly-Dum-Doodily,14.5,8.3
27,1241.0,14,27,1991-02-14,2,Principal Charming,23.9,7.5
244,724.0,18,244,2000-04-09,11,Days of Wine and D'oh'ses,8.3,7.4
308,649.0,17,308,2003-04-13,14,Three Gays of the Condo,12.02,7.2
246,716.0,20,246,2000-05-07,11,Last Tap Dance in Springfield,7.3,7.2
369,642.0,13,369,2006-03-12,17,The Seemingly Never-Ending Story,9.72,7.4
477,461.0,13,477,2011-02-13,22,The Blue and the Gray,5.61,6.9
192,1036.0,14,192,1998-02-15,9,Das Bus,9.6,8.1
86,1437.0,5,86,1993-10-28,5,Treehouse of Horror IV,24.0,8.7
79,1234.0,20,79,1993-04-29,4,Whacking Day,20.0,8.1
414,626.0,14,414,2008-03-09,19,Dial 'N' for Nerder,7.3,7.3
146,1016.0,18,146,1996-03-17,7,The Day the Violence Died,14.4,8.0
107,1277.0,4,107,1994-10-02,6,Itchy & Scratchy Land,14.8,8.5
285,765.0,16,285,2002-04-07,13,Weekend at Burnsie's,12.5,7.7
98,1116.0,17,98,1994-03-31,5,Bart Gets an Elephant,17.0,7.9
61,1339.0,2,61,1992-10-01,4,A Streetcar Named Marge,18.3,8.1
22,1402.0,9,22,1990-12-20,2,Itchy & Scratchy & Marge,22.2,8.1
242,755.0,16,242,2000-02-27,11,Pygmoelian,9.4,7.3
527,371.0,19,527,2013-05-05,24,Whiskey Business,4.43,6.8
133,1288.0,5,133,1995-10-15,7,Lisa the Vegetarian,14.6,8.5
268,666.0,20,268,2001-05-13,12,Children of a Lesser Clod,13.8,7.3
90,1308.0,9,90,1993-12-09,5,The Last Temptation of Homer,20.6,8.4
231,817.0,5,231,1999-11-07,11,E-I-E-I-(Annoyed Grunt),8.4,7.6
117,1221.0,14,117,1995-02-05,6,Bart's Comet,18.7,8.6
134,1304.0,6,134,1995-10-29,7,Treehouse of Horror VI,19.7,8.5
144,1039.0,16,144,1996-02-18,7,Lisa the Iconoclast,13.4,8.1
160,1005.0,7,160,1996-12-15,8,Lisa's Date with Density,,7.8
44,1194.0,9,44,1991-11-14,3,Saturdays of Thunder,24.7,7.9
13,1567.0,13,13,1990-05-13,1,Some Enchanted Evening,27.1,7.9
428,615.0,8,428,2008-12-07,20,The Burns and the Bees,6.19,6.6
556,612.0,4,556,2014-10-19,26,Treehouse of Horror XXV,7.76,7.3
400,692.0,22,400,2007-05-20,18,You Kent Always Say What You Want,9.8,7.3
514,430.0,6,514,2012-11-25,24,A Tree Grows in Springfield,7.46,6.5
154,1186.0,1,154,1996-10-27,8,Treehouse of Horror VII,18.3,8.3
341,554.0,6,341,2005-01-16,16,Midnight Rx,8.11,7.3
393,606.0,15,393,2007-03-11,18,Rome-Old and Juli-Eh,8.98,6.3
96,1505.0,15,96,1994-02-24,5,Deep Space Homer,18.2,8.8
430,591.0,10,430,2009-02-15,20,"Take My Life, Please",6.82,7.0
590,262.0,16,590,2016-03-13,27,The Marge-ian Chronicles,3.07,7.3
515,493.0,7,515,2012-12-09,24,The Day the Earth Stood Cool,7.44,7.2
162,1383.0,9,162,1997-01-05,8,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),14.9,8.5
536,468.0,6,536,2013-11-24,25,The Kid Is All Right,6.78,6.5
173,913.0,20,173,1997-04-13,8,The Canine Mutiny,,7.7
108,1142.0,5,108,1994-10-09,6,Sideshow Bob Roberts,14.4,8.3
135,1633.0,7,135,1995-11-05,7,King-Size Homer,17.0,9.0
547,415.0,17,547,2014-04-06,25,Luca$,4.3,6.5
177,1006.0,24,177,1997-05-11,8,The Simpsons Spin-Off Showcase,11.6,7.3
70,1445.0,11,70,1992-12-17,4,Homer's Triple Bypass,23.6,8.7
471,489.0,7,471,2010-11-28,22,How Munched is That Birdie in the Window?,9.38,6.4
11,1539.0,11,11,1990-04-15,1,The Crepes of Wrath,31.2,7.8
232,759.0,6,232,1999-11-14,11,"Hello Gutter, Hello Fadder",9.2,7.3
332,600.0,19,332,2004-05-02,15,Simple Simpson,9.5,7.3
229,797.0,3,229,1999-10-24,11,Guess Who's Coming to Criticize Dinner?,6.7,7.5
587,252.0,13,587,2016-02-14,27,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2.89,6.3
333,587.0,20,333,2004-05-09,15,The Way We Weren't,6.6,7.3
